Report ID,Category of Incident,Country of Incident,Date of Incident,Subject,Airport,Full Scientific Name,Common Name,Item / Commodity Type,Count,Quantity - Weight,Unit of Weight,Estimated Value,Currency,Value in USD
MOR25666,1. Seizure,India,10/4/2019 0:00,"77kg of sandalwood at the Chhatrapati Shivaji Maharaj International Airport, one Sudanese national",the Chhatrapati Shivaji Maharaj International Airport,Pterocarpus santalinus,"Agaru, Red Sandalwood, Redsanders, Red Sanders, Saunderswood, Leno de Sandalo Rojo, Sándalo rojo, Bois de Santal Rouge, Santal rouge",Wood NES,,77,Kilograms,,,
MOR25667,1. Seizure,India,10/4/2019 0:00,"10kg sandalwood chips seized at Chhatrapati Shivaji Maharaj International Airport, one suspect",Chhatrapati Shivaji Maharaj International Airport,Pterocarpus santalinus,"Agaru, Red Sandalwood, Redsanders, Red Sanders, Saunderswood, Leno de Sandalo Rojo, Sándalo rojo, Bois de Santal Rouge, Santal rouge",Wood NES,,10,Kilograms,,,
MOR25673,1. Seizure,India,10/8/2019 0:00,"6.4 kg of sandalwood at Indira Gandhi International Airport, one Chinese national arrested",Indira Gandhi International Airport,Pterocarpus santalinus,"Agaru, Red Sandalwood, Redsanders, Red Sanders, Saunderswood, Leno de Sandalo Rojo, Sándalo rojo, Bois de Santal Rouge, Santal rouge",Wood NES,2,6.400000095,Kilograms,,,
MOR25720,1. Seizure,India,10/10/2019 0:00,"Live reptiles seized at Chennai International Airport, two suspects arrested",Chennai International Airport,Hydrosaurus,Sailfin Lizard,Individual - Live,4,,,,,
MOR25720,1. Seizure,India,10/10/2019 0:00,"Live reptiles seized at Chennai International Airport, two suspects arrested",Chennai International Airport,Morelia viridis,"Green Tree Python, Python arboricole vert australien",Individual - Live,1,,,,,
MOR25720,1. Seizure,India,10/10/2019 0:00,"Live reptiles seized at Chennai International Airport, two suspects arrested",Chennai International Airport,Morelia amethistina,"Amethystine (Rock) Python, Scrub Python, Pitón ametista, Python améthiste, Python de la brousse, Python des rochers",Individual - Live,1,,,,,
MOR25720,1. Seizure,India,10/10/2019 0:00,"Live reptiles seized at Chennai International Airport, two suspects arrested",Chennai International Airport,Varanus beccarii,"Black Tree Monitor, Varano arborícola negro, Varan arboricole noir",Individual - Live,2,,,,,
MOR25720,1. Seizure,India,10/10/2019 0:00,"Live reptiles seized at Chennai International Airport, two suspects arrested",Chennai International Airport,Varanus prasinus,"Emerald Monitor, Varano verde, Varan émeraude",Individual - Live,5,,,,,
MOR25799,1. Seizure,Kenya,10/15/2019 0:00,"1 ivory bangle (60g) seized at Jomo Kenyatta Airport, Kenya - 1 Chinese national arrested",Jomo Kenyatta Airport,Elephantidae,Elephants,Ivory - Worked,1,0.059999999,Kilograms,,,
MOR25814,1. Seizure,India,10/15/2019 0:00,13 parrots seized at Indira Gandhi International Airport - 1 arrested,Indira Gandhi International Airport,Psittacidae,"Amazons, Macaws, Parakeets, Parrots, Amazonas, Cotorras, Guacamayos, Periquitos, Loros, Amazones, Aras, Perruches, Perroquets",Individual - Live,13,,,,,
